P31946	ENSG00000166913.13
Q6NTE8	ENSG00000283918.2
A6NES4	ENSG00000185038.15
Q7Z745	ENSG00000171495.17
Q8NDA8	ENSG00000179832.18
Q6ZUA9	ENSG00000291473.2
A6NGR9	ENSG00000204839.9
A6NGR9	ENSG00000277781.2
Q68CQ1	ENSG00000184313.20
Q5TGP6	ENSG00000117501.15
P33527	ENSG00000103222.20
P33527	ENSG00000278183.4
Q92887	ENSG00000023839.12
O15438	ENSG00000108846.16
O15439	ENSG00000125257.16
O15440	ENSG00000114770.17
O95255	ENSG00000091262.17
O95255	ENSG00000275331.5
Q5T3U5	ENSG00000124574.16
Q96J66	ENSG00000121270.16
Q96J65	ENSG00000140798.17
O15091	ENSG00000100890.16
P49006	ENSG00000175130.7
Q9HD23	ENSG00000124532.15
Q9UKD2	ENSG00000053372.5
Q969V6	ENSG00000196588.21
Q9ULH7	ENSG00000186260.17
Q9NYP9	ENSG00000159055.4
O43482	ENSG00000104147.9
Q8N5Y2	ENSG00000005302.19
Q96HJ5	ENSG00000149516.15
Q96HJ5	ENSG00000284903.3
Q9H3V2	ENSG00000166930.7
Q9GZW8	ENSG00000166927.13
Q6ZTZ1	ENSG00000188981.11
Q6P1R3	ENSG00000120458.13
Q96H12	ENSG00000066697.15
Q8NCY6	ENSG00000170903.12
A0A3B3IT52	ENSG00000285891.2
A0A1W2PQ72	ENSG00000284024.4
A6NI15	ENSG00000151379.4
P43246	ENSG00000095002.16
P20585	ENSG00000113318.11
O15457	ENSG00000057468.7
O43196	ENSG00000204410.16
O43196	ENSG00000230961.10
O43196	ENSG00000235222.12
O43196	ENSG00000230293.11
O43196	ENSG00000227314.12
P52701	ENSG00000116062.19
Q01726	ENSG00000258839.4
O43347	ENSG00000135097.7
Q96DH6	ENSG00000153944.12
Q68DK7	ENSG00000188895.12
Q9HCI7	ENSG00000174579.5
Q13421	ENSG00000102854.16
P08118	ENSG00000263639.7
Q15800	ENSG00000052802.13
Q1L6U9	ENSG00000215183.5
Q9UJG1	ENSG00000101928.13
Q8NHP6	ENSG00000130150.12
O75425	ENSG00000106330.12
Q9UJ68	ENSG00000175806.15
Q9UJ68	ENSG00000285250.2
Q9NZV6	ENSG00000198736.13
Q9NZV6	ENSG00000291928.1
Q9Y3D2	ENSG00000148450.13
Q8IXL7	ENSG00000174099.12
P21757	ENSG00000038945.15
P47224	ENSG00000183155.5
Q4VC12	ENSG00000166343.10
Q8IVN3	ENSG00000272573.6
Q9BUK6	ENSG00000125459.18
Q9BYG7	ENSG00000134042.14
P28360	ENSG00000163132.8
P35548	ENSG00000120149.9
P04731	ENSG00000205362.11
P07438	ENSG00000169688.11
P04732	ENSG00000169715.15
P04733	ENSG00000198417.7
P13640	ENSG00000125144.14
P80294	ENSG00000205358.4
Q8N339	ENSG00000205364.4
P80297	ENSG00000187193.9
Q8WXB1	ENSG00000144401.14
Q5VZV1	ENSG00000139780.8
Q9H867	ENSG00000100483.14
Q96FB5	ENSG00000143303.12
P02795	ENSG00000125148.7
P25713	ENSG00000087250.9
P47944	ENSG00000102891.4
Q13330	ENSG00000182979.18
O94776	ENSG00000149480.7
Q9BTC8	ENSG00000057935.14
Q86U44	ENSG00000165819.12
P11137	ENSG00000078018.22
Q13126	ENSG00000099810.21
Q96DY7	ENSG00000172167.8
Q9NZJ7	ENSG00000137409.21
Q9Y6C9	ENSG00000109919.10
Q9Y6C9	ENSG00000285121.2
Q9Y4B5	ENSG00000168502.18
O94964	ENSG00000149639.15
Q5TF21	ENSG00000214338.11
P56278	ENSG00000214827.11
Q9H903	ENSG00000163738.19
P13995	ENSG00000065911.13
Q99551	ENSG00000127989.14
Q49AM1	ENSG00000120832.11
Q96E29	ENSG00000156469.9
Q7Z6M4	ENSG00000122085.17
Q14872	ENSG00000188786.10
Q9Y483	ENSG00000143033.18
Q9UDX5	ENSG00000242114.6
Q15390	ENSG00000066855.16
Q6P444	ENSG00000146410.12
O75081	ENSG00000129993.15
Q9BT17	ENSG00000148824.19
Q9H4K7	ENSG00000101181.18
O43439	ENSG00000078699.22
Q06455	ENSG00000079102.18
P49914	ENSG00000136371.11
P42898	ENSG00000177000.13
Q2M296	ENSG00000103248.19
Q96S19	ENSG00000130731.16
Q9Y4I5	ENSG00000132749.11
Q8NCU8	ENSG00000175701.11
O43193	ENSG00000102539.5
Q13496	ENSG00000171100.16
Q13613	ENSG00000063601.17
Q13614	ENSG00000087053.20
Q13615	ENSG00000100330.16
Q9NYA4	ENSG00000108389.10
O95248	ENSG00000100241.22
Q9Y217	ENSG00000139505.13
Q9Y216	ENSG00000003987.14
Q96EF0	ENSG00000102043.16
Q96QG7	ENSG00000104643.10
Q96QG7	ENSG00000285032.3
Q9NXD2	ENSG00000166912.17
Q9NXD2	ENSG00000277086.3
A4FU01	ENSG00000014914.21
Q9C0I1	ENSG00000150712.11
Q86WG5	ENSG00000133812.18
Q8NCE2	ENSG00000163719.20
Q9BV20	ENSG00000037757.14
Q96GX9	ENSG00000149089.13
Q9BV57	ENSG00000182551.14
Q9Y2Z2	ENSG00000135297.17
P42345	ENSG00000198793.14
P58546	ENSG00000105887.11
P55157	ENSG00000138823.14
P48039	ENSG00000168412.7
P49286	ENSG00000134640.3
Q13585	ENSG00000102195.10
P42285	ENSG00000039123.16
Q9H3J6	ENSG00000130921.9
Q9UBK8	ENSG00000124275.15
O43312	ENSG00000170873.19
Q765P7	ENSG00000132613.16
O75648	ENSG00000100416.15
Q8N3F0	ENSG00000180354.17
Q9ULD2	ENSG00000129422.15
Q5JR59	ENSG00000132938.22
Q13505	ENSG00000173171.15
O75431	ENSG00000128654.14
Q5HYI7	ENSG00000177034.18
Q9UKN1	ENSG00000205277.10
Q9H3R2	ENSG00000173702.7
Q8N387	ENSG00000169550.14
Q8WXI7	ENSG00000181143.17
Q685J3	ENSG00000169876.14
P43121	ENSG00000076706.17
P15941	ENSG00000185499.17
Q8N307	ENSG00000176945.18
Q8N307	ENSG00000278114.4
Q8N307	ENSG00000276583.4
Q8N307	ENSG00000275501.4
Q5SSG8	ENSG00000204544.5
Q5SSG8	ENSG00000227506.5
E2RYF6	ENSG00000261272.1
Q04900	ENSG00000135535.17
Q02505	ENSG00000169894.18
Q99102	ENSG00000145113.22
P98088	ENSG00000215182.8
P98088	ENSG00000291363.1
Q9HC84	ENSG00000117983.17
Q6W4X9	ENSG00000184956.16
Q8TAX7	ENSG00000171195.11
Q9ULC0	ENSG00000164035.10
Q96DR8	ENSG00000172551.12
Q3MIW9	ENSG00000232251.5
Q3MIW9	ENSG00000229284.4
Q969V5	ENSG00000090432.7
Q96NY9	ENSG00000172732.12
O60682	ENSG00000178860.9
O15146	ENSG00000030304.15
Q8N9H8	ENSG00000187609.16
P22033	ENSG00000146085.8
Q9UIF7	ENSG00000132781.22
P53602	ENSG00000167508.12
Q14764	ENSG00000013364.19
P20591	ENSG00000157601.15
P20592	ENSG00000183486.14
P50539	ENSG00000119950.21
Q9NR99	ENSG00000101825.8
P84157	ENSG00000182534.14
Q9BRK3	ENSG00000162576.17
Q96JP2	ENSG00000266714.11
Q92614	ENSG00000196535.20
Q8IUG5	ENSG00000133454.16
Q96S97	ENSG00000179820.17
P10243	ENSG00000185697.17
P10244	ENSG00000101057.16
Q13203	ENSG00000133055.10
Q8TBZ2	ENSG00000136449.16
P10242	ENSG00000118513.21
O75592	ENSG00000005810.20
Q99417	ENSG00000214114.9
Q8IZQ8	ENSG00000141052.18
P12524	ENSG00000116990.12
P04198	ENSG00000134323.13
A0A1B0GUC4	ENSG00000283683.2
Q7Z401	ENSG00000174485.16
Q8N699	ENSG00000120279.7
Q96QE2	ENSG00000151229.13
P01106	ENSG00000136997.22
Q99836	ENSG00000172936.18
Q969H8	ENSG00000074842.8
Q9P2K5	ENSG00000104177.20
Q96EZ4	ENSG00000172927.9
P13349	ENSG00000111049.4
P23409	ENSG00000111046.4
Q9HB07	ENSG00000139637.14
Q9HB07	ENSG00000291835.1
P02144	ENSG00000198125.13
P35580	ENSG00000133026.14
P35749	ENSG00000133392.19
P35749	ENSG00000276480.5
Q9UKX3	ENSG00000006788.14
Q7Z406	ENSG00000105357.20
Q9Y2K3	ENSG00000144821.11
P12882	ENSG00000109061.10
Q9UKX2	ENSG00000125414.19
P11055	ENSG00000109063.15
Q9Y623	ENSG00000264424.1
P13533	ENSG00000197616.13
A7E2Y1	ENSG00000078814.19
P12883	ENSG00000092054.14
P13535	ENSG00000133020.4
P35579	ENSG00000100345.23
Q9BUA6	ENSG00000106436.8
Q96A32	ENSG00000180209.12
P05976	ENSG00000168530.16
P08590	ENSG00000160808.13
P12829	ENSG00000198336.9
Q02045	ENSG00000215375.7
P14649	ENSG00000196465.11
P60660	ENSG00000092841.19
P24844	ENSG00000101335.10
Q8WY64	ENSG00000007944.16
Q9H1R3	ENSG00000101306.11
Q32MK0	ENSG00000140795.13
Q86YV6	ENSG00000145949.12
Q15746	ENSG00000065534.20
A6NI61	ENSG00000187616.5
A0A1B0GTQ4	ENSG00000262179.4
Q9NPC7	ENSG00000085274.16
Q9HD67	ENSG00000145555.15
Q9UKN7	ENSG00000091536.20
Q9Y6X6	ENSG00000041515.16
Q96H55	ENSG00000278259.5
Q96H55	ENSG00000278372.4
Q9UBC5	ENSG00000166866.13
O43795	ENSG00000128641.19
O00159	ENSG00000197879.17
O94832	ENSG00000176658.17
Q12965	ENSG00000157483.9
O00160	ENSG00000142347.21
B0I1T2	ENSG00000136286.16
Q8NEV4	ENSG00000095777.17
Q8WXR4	ENSG00000071909.19
Q9Y4I1	ENSG00000197535.16
Q9ULV0	ENSG00000167306.21
Q9NQX4	ENSG00000128833.13
Q9UM54	ENSG00000196586.17
Q13402	ENSG00000137474.23
Q6PIF6	ENSG00000169994.20
B2RTY4	ENSG00000066933.17
Q13459	ENSG00000099331.14
Q99972	ENSG00000034971.17
P15172	ENSG00000129152.4
Q9NZM1	ENSG00000138119.17
P15173	ENSG00000122180.5
P52179	ENSG00000101605.14
P54296	ENSG00000036448.10
P54296	ENSG00000274137.2
Q5VTT5	ENSG00000142661.19
Q5VU43	ENSG00000178104.22
Q6NSJ0	ENSG00000164976.9
Q9UBF9	ENSG00000120729.10
Q9NP98	ENSG00000177791.12
Q9NPC6	ENSG00000172399.6
Q8TDC0	ENSG00000164591.14
P25189	ENSG00000158887.20
P02689	ENSG00000147588.7
Q00872	ENSG00000196091.15
Q14324	ENSG00000086967.10
Q14896	ENSG00000134571.12
Q86TC9	ENSG00000138347.17
Q86VE0	ENSG00000176182.6
P60201	ENSG00000123560.14
O14974	ENSG00000058272.19
O60237	ENSG00000077157.23
Q9Y2G1	ENSG00000124920.14
Q8NFW9	ENSG00000170011.14
Q5VVJ2	ENSG00000162601.12
Q9UL68	ENSG00000186487.21
Q01538	ENSG00000196132.14
Q01538	ENSG00000276876.4
P0CAP1	ENSG00000263155.7
Q8WU39	ENSG00000170476.16
P28698	ENSG00000099326.9
Q08AG7	ENSG00000204899.6
Q6P582	ENSG00000173272.16
Q6NZ67	ENSG00000152082.15
Q6NZ67	ENSG00000292119.1
Q5TBK1	ENSG00000139597.18
Q92802	ENSG00000244754.9
O75113	ENSG00000102921.8
Q86UW6	ENSG00000078177.15
O15049	ENSG00000145911.6
Q9H1M0	ENSG00000198088.10
Q9Y5N5	ENSG00000156239.12
P41227	ENSG00000102030.16
Q9BSU3	ENSG00000156269.5
Q9BXJ9	ENSG00000164134.14
Q6N069	ENSG00000172766.19
P61599	ENSG00000173418.12
Q14CX7	ENSG00000111300.10
Q147X3	ENSG00000139977.14
Q5VZE5	ENSG00000135040.16
Q9BRA0	ENSG00000183011.14
Q86UY6	ENSG00000110583.13
Q9GZZ1	ENSG00000121579.14
Q9H7X0	ENSG00000122390.19
Q93015	ENSG00000243477.6
Q02083	ENSG00000138744.17
Q13506	ENSG00000138386.17
Q15742	ENSG00000166886.13
P32418	ENSG00000183023.19
Q9UPR5	ENSG00000118160.14
P57103	ENSG00000100678.20
Q9H009	ENSG00000253506.3
O15069	ENSG00000136274.9
E9PAV3	ENSG00000196531.14
Q13765	ENSG00000196531.14
Q96RE7	ENSG00000160877.7
Q96BF6	ENSG00000148411.8
Q53FP2	ENSG00000126950.8
Q9BWU0	ENSG00000163798.14
Q15274	ENSG00000103485.19
Q6IA69	ENSG00000172890.13
O95544	ENSG00000008130.15
Q58DX5	ENSG00000177694.16
Q96HR8	ENSG00000145414.9
P17050	ENSG00000198951.12
Q9Y303	ENSG00000162066.16
Q9UJ70	ENSG00000124357.13
Q9UK23	ENSG00000103174.13
Q8N159	ENSG00000161653.11
Q69YI7	ENSG00000171169.9
Q4G0N4	ENSG00000152620.13
Q86W26	ENSG00000182261.5
Q86W26	ENSG00000276780.2
Q86W26	ENSG00000281166.2
P59045	ENSG00000179873.14
P59046	ENSG00000142405.24
Q86W25	ENSG00000173572.12
Q86W24	ENSG00000158077.5
Q8IZF0	ENSG00000102452.18
Q9Y3Q0	ENSG00000077616.11
Q9Y3Q0	ENSG00000285516.2
Q9UQQ1	ENSG00000168060.16
B1AL88	ENSG00000204442.4
O75949	ENSG00000130054.5
Q9NX02	ENSG00000022556.16
Q9NX02	ENSG00000275843.4
Q9NX02	ENSG00000275082.4
Q9NX02	ENSG00000275399.4
Q9NX02	ENSG00000278682.4
Q9NX02	ENSG00000273992.4
Q9NX02	ENSG00000274638.4
Q9NX02	ENSG00000278789.4
Q9NX02	ENSG00000275796.4
Q96MN2	ENSG00000160505.16
P59047	ENSG00000171487.16
Q8WX94	ENSG00000167634.12
Q8WX94	ENSG00000274571.4
Q8WX94	ENSG00000277776.4
Q8WX94	ENSG00000277071.4
Q8WX94	ENSG00000277786.4
Q8WX94	ENSG00000277179.4
Q8WX94	ENSG00000274174.4
Q8WX94	ENSG00000276804.4
Q8WX94	ENSG00000275483.4
Q86W28	ENSG00000179709.8
P43490	ENSG00000105835.13
Q7Z5D8	ENSG00000205857.2
Q8WY41	ENSG00000188613.7
P60321	ENSG00000188425.4
P60323	ENSG00000187556.8
P60323	ENSG00000288505.1
Q9H9S0	ENSG00000111704.11
Q6NSW7	ENSG00000255192.7
Q8TBE9	ENSG00000170191.5
Q6IQ20	ENSG00000161048.12
Q6IQ20	ENSG00000275723.4
O96009	ENSG00000131400.9
P52961	ENSG00000129744.3
Q13508	ENSG00000156219.18
Q93070	ENSG00000111339.12
Q96L15	ENSG00000167311.14
Q9UHQ1	ENSG00000141562.19
P0DI83	ENSG00000109113.20
P49321	ENSG00000132780.17
Q9H0A0	ENSG00000135372.10
Q8WUY8	ENSG00000090971.5
Q8N8M0	ENSG00000167011.9
Q8N9F0	ENSG00000185818.8
Q9UHE5	ENSG00000144035.4
Q9UHE5	ENSG00000291479.1
Q9BTE0	ENSG00000109065.12
Q8N6N6	ENSG00000274180.1
Q8NEY1	ENSG00000134369.17
Q8IVL1	ENSG00000166833.23
Q8IVL0	ENSG00000067798.16
Q9UHQ9	ENSG00000159348.13
Q6BCY4	ENSG00000166394.15
P00387	ENSG00000100243.22
Q7L1T6	ENSG00000065615.14
Q6IPT4	ENSG00000215883.11
A2RRP1	ENSG00000151779.14
A0A0U1RRE5	ENSG00000204272.13
Q8NFP9	ENSG00000172915.20
Q6ZS30	ENSG00000144426.19
Q6ZNJ1	ENSG00000160796.18
P41271	ENSG00000158747.15
O60934	ENSG00000104320.15
Q3BBV0	ENSG00000219481.11
Q9H094	ENSG00000142794.19
Q96M43	ENSG00000196427.14
Q5VWK0	ENSG00000186086.19
Q3BBV2	ENSG00000270231.5
P0DPF3	ENSG00000269713.9
Q6P3W6	ENSG00000271425.9
Q86T75	ENSG00000263956.8
Q5TAG4	ENSG00000268043.9
Q5TI25	ENSG00000270629.7
Q8N660	ENSG00000266338.7
A0A087WUL8	ENSG00000271383.9
B4DH59	ENSG00000273136.9
Q14596	ENSG00000188554.15
Q14919	ENSG00000175550.8
Q01658	ENSG00000117505.13
P61601	ENSG00000104490.18
P13591	ENSG00000149294.18
O15394	ENSG00000154654.15
O14594	ENSG00000130287.14
Q69YL0	ENSG00000270170.2
A6PVI3	ENSG00000170935.8
Q09161	ENSG00000136937.13
P52298	ENSG00000114503.11
Q53F19	ENSG00000074356.17
Q9UBB6	ENSG00000020129.16
Q6PIU2	ENSG00000144959.11
P14598	ENSG00000158517.16
P19878	ENSG00000116701.16
Q15080	ENSG00000100365.16
O00533	ENSG00000134121.10
P16333	ENSG00000158092.7
O43639	ENSG00000071051.14
Q9HCH0	ENSG00000167566.17
Q9Y2A7	ENSG00000061676.16
O14513	ENSG00000176771.18
P55160	ENSG00000123338.13
O60721	ENSG00000074621.14
Q9UI40	ENSG00000155886.12
Q9HC58	ENSG00000185052.13
Q8NFF2	ENSG00000140090.18
Q71RS6	ENSG00000188467.11
Q969V3	ENSG00000125912.11
Q6J4K2	ENSG00000089060.12
Q5T1S8	ENSG00000184454.7
Q15788	ENSG00000084676.16
Q15596	ENSG00000140396.13
Q9Y6Q9	ENSG00000124151.19
Q13772	ENSG00000266412.6
Q9HCD5	ENSG00000124160.12
Q14686	ENSG00000198646.14
Q8NI08	ENSG00000111912.20
O75376	ENSG00000141027.23
Q9Y618	ENSG00000196498.15
P16435	ENSG00000127948.17
P62166	ENSG00000107130.10
O76036	ENSG00000189430.13
O76036	ENSG00000273535.4
O76036	ENSG00000275156.4
O76036	ENSG00000278362.4
O95944	ENSG00000096264.14
O14931	ENSG00000204475.10
O14931	ENSG00000206430.8
O14931	ENSG00000225211.6
O14931	ENSG00000237103.6
O14931	ENSG00000237808.6
O14931	ENSG00000223833.6
O14931	ENSG00000236315.6
O14931	ENSG00000236979.6
Q9BTX1	ENSG00000058804.12
O14777	ENSG00000080986.13
Q9NXR1	ENSG00000072864.16
Q9NXR1	ENSG00000275911.3
Q9GZM8	ENSG00000166579.16
Q13562	ENSG00000162992.5
Q15784	ENSG00000171532.5
Q9HD90	ENSG00000123307.4
Q96NK8	ENSG00000164600.7
Q13232	ENSG00000103024.8
P56597	ENSG00000112981.5
O75414	ENSG00000172113.10
Q9Y5B8	ENSG00000143156.14
P15531	ENSG00000239672.8
P22392	ENSG00000243678.12
O00746	ENSG00000103202.13
Q8TB73	ENSG00000173376.14
Q9UHB4	ENSG00000188566.15
Q00604	ENSG00000124479.11
Q92597	ENSG00000104419.17
Q9UN36	ENSG00000165795.25
Q9UGV2	ENSG00000101079.21
Q9ULP0	ENSG00000103034.15
P52848	ENSG00000070614.15
P52849	ENSG00000166507.19
O95803	ENSG00000164100.9
Q9H3R1	ENSG00000138653.10
O15239	ENSG00000125356.7
O43678	ENSG00000131495.9
O95167	ENSG00000170906.16
O95167	ENSG00000275724.1
O95167	ENSG00000276220.1
O95167	ENSG00000273642.1
O95167	ENSG00000278365.1
O95167	ENSG00000274359.1
O95167	ENSG00000275605.1
O95167	ENSG00000276766.1
O95167	ENSG00000276061.4
O95167	ENSG00000277722.1
O00483	ENSG00000189043.10
Q16718	ENSG00000128609.16
P56556	ENSG00000184983.11
P56556	ENSG00000272765.2
P56556	ENSG00000277365.3
P56556	ENSG00000281013.5
P56556	ENSG00000273397.4
O95182	ENSG00000267855.6
P51970	ENSG00000119421.7
Q16795	ENSG00000139180.11
O95299	ENSG00000130414.13
Q86Y39	ENSG00000174886.15
Q86Y39	ENSG00000292058.1
Q9UI09	ENSG00000184752.14
Q9P0J0	ENSG00000186010.19
O75438	ENSG00000183648.11
O95178	ENSG00000090266.13
O43676	ENSG00000119013.10
O95168	ENSG00000065518.8
O43674	ENSG00000136521.13
O95139	ENSG00000165264.11
P17568	ENSG00000099795.7
O95169	ENSG00000166136.17
Q9Y6M9	ENSG00000147684.10
O96000	ENSG00000140990.15
O96000	ENSG00000291930.1
Q9NX14	ENSG00000147123.12
O43677	ENSG00000109390.13
O95298	ENSG00000151366.13
E9PQ53	ENSG00000259112.2
Q8N183	ENSG00000164182.12
Q9BU61	ENSG00000178057.15
Q9P032	ENSG00000123545.6
Q5TEU4	ENSG00000101247.18
Q330K2	ENSG00000156170.14
Q7L592	ENSG00000003509.16
A1L188	ENSG00000224877.4
P28331	ENSG00000023228.15
P28331	ENSG00000283447.3
O75306	ENSG00000158864.13
O75489	ENSG00000213619.11
O43181	ENSG00000164258.12
O43920	ENSG00000168653.11
O75380	ENSG00000145494.12
O75251	ENSG00000115286.21
O00217	ENSG00000110717.13
P49821	ENSG00000167792.13
P19404	ENSG00000178127.13
P56181	ENSG00000160194.18
Q9ULJ8	ENSG00000158528.12
Q96SB3	ENSG00000108819.11
O76041	ENSG00000078114.19
P20929	ENSG00000183091.21
P29120	ENSG00000175426.11
P16519	ENSG00000125851.10
Q8N987	ENSG00000123119.12
Q7Z6G3	ENSG00000103154.10
Q96P71	ENSG00000125967.17
Q99608	ENSG00000182636.8
Q8NC96	ENSG00000089818.18
Q9NVZ3	ENSG00000157191.20
Q9NVZ3	ENSG00000291380.1
Q15223	ENSG00000110400.11
Q92692	ENSG00000130202.10
Q9NQS3	ENSG00000177707.11
Q96NY8	ENSG00000143217.9
Q96PU5	ENSG00000049759.20
Q8NHV4	ENSG00000139350.13
P46934	ENSG00000069869.17
Q15843	ENSG00000129559.13
Q15843	ENSG00000285246.2
Q7Z3B1	ENSG00000172260.15
Q96FI4	ENSG00000140398.14
Q969S2	ENSG00000154328.16
Q969S2	ENSG00000292286.1
Q8TAT5	ENSG00000109674.4
Q6ZWH5	ENSG00000163491.18
Q8NG66	ENSG00000114670.14
Q96PY6	ENSG00000137601.18
P51955	ENSG00000117650.13
P51956	ENSG00000136098.18
P51957	ENSG00000114904.13
Q6P3R8	ENSG00000197168.14
Q9HC98	ENSG00000119408.17
Q8TDX7	ENSG00000151414.15
Q86SG6	ENSG00000160602.14
Q8TD19	ENSG00000119638.14
Q9H3P2	ENSG00000185049.16
Q8WX92	ENSG00000188986.9
Q8IXH7	ENSG00000101158.15
P18615	ENSG00000204356.14
P18615	ENSG00000206268.11
P18615	ENSG00000206357.11
P18615	ENSG00000231044.10
P18615	ENSG00000229363.9
P18615	ENSG00000233801.9
Q92832	ENSG00000165973.19
Q99435	ENSG00000184613.11
O60524	ENSG00000165525.18
Q9Y6K9	ENSG00000269335.7
O14524	ENSG00000166881.10
A6NFY4	ENSG00000189362.12
Q9UMX5	ENSG00000117691.10
Q92859	ENSG00000067141.17
Q92979	ENSG00000126749.17
Q8N9A8	ENSG00000205423.12
Q6NW34	ENSG00000163608.15
P08473	ENSG00000196549.13
P48681	ENSG00000132688.11
O95631	ENSG00000065320.9
O00634	ENSG00000162068.2
Q9HB63	ENSG00000074527.13
Q8WTR8	ENSG00000142233.14
Q8TDF5	ENSG00000166342.19
Q8NC67	ENSG00000171208.10
P56730	ENSG00000164099.3
A8MQ27	ENSG00000214357.9
P01178	ENSG00000101405.3
P01185	ENSG00000101200.5
Q8NFW8	ENSG00000111726.13
Q8WUJ1	ENSG00000167740.10
Q92686	ENSG00000154146.13
O76050	ENSG00000107954.11
Q9BR09	ENSG00000124257.7
Q96EH8	ENSG00000163121.10
Q96JN8	ENSG00000215041.10
Q96JN8	ENSG00000288301.1
Q9BYT8	ENSG00000123213.23
P17677	ENSG00000172020.13
Q99519	ENSG00000184494.8
Q99519	ENSG00000204386.13
Q99519	ENSG00000234846.7
Q99519	ENSG00000227129.6
Q99519	ENSG00000228691.6
Q99519	ENSG00000234343.6
Q99519	ENSG00000223957.6
Q99519	ENSG00000227315.7
Q9Y3R4	ENSG00000115488.3
Q9UQ49	ENSG00000162139.10
Q8WWR8	ENSG00000204099.12
Q8WWR8	ENSG00000277926.4
Q99574	ENSG00000163536.13
P30990	ENSG00000133636.11
Q5QGS0	ENSG00000050030.16
Q0ZGT2	ENSG00000162614.19
P21359	ENSG00000196712.20
Q8NCF5	ENSG00000176953.13
Q14494	ENSG00000082641.16
Q16236	ENSG00000116044.17
Q9Y4A8	ENSG00000050344.9
O95644	ENSG00000131196.18
Q13469	ENSG00000101096.20
Q12968	ENSG00000072736.19
Q14934	ENSG00000100968.14
Q14934	ENSG00000285485.2
Q8NET5	ENSG00000235568.7
O94856	ENSG00000163531.17
O94916	ENSG00000102908.23
Q16621	ENSG00000123405.14
P12036	ENSG00000100285.10
Q12857	ENSG00000162599.18
O00712	ENSG00000147862.18
P08651	ENSG00000141905.19
Q16649	ENSG00000165030.5
A0A5F9ZHS7	ENSG00000268480.4
Q9BT67	ENSG00000131507.11
Q9NV92	ENSG00000102471.16
Q14938	ENSG00000008441.19
P19838	ENSG00000109320.14
Q00653	ENSG00000077150.21
P07196	ENSG00000277586.4
P07197	ENSG00000104722.14
Q6P4R8	ENSG00000170322.15
Q9Y697	ENSG00000244005.13
Q9UMS0	ENSG00000169599.13
Q12986	ENSG00000086102.19
Q6ZNB6	ENSG00000170448.12
P23511	ENSG00000001167.15
P25208	ENSG00000120837.8
Q13952	ENSG00000066136.21
P80188	ENSG00000148346.12
Q9UJF2	ENSG00000075391.18
Q96E22	ENSG00000153989.8
Q9NPG2	ENSG00000165553.5
Q8NEJ9	ENSG00000129460.17
Q8N5V2	ENSG00000066248.15
P01138	ENSG00000134259.6
Q96IV0	ENSG00000151092.18
Q92886	ENSG00000181965.6
Q9H2A3	ENSG00000178403.4
Q9Y4Z2	ENSG00000122859.5
Q9NPE2	ENSG00000182768.9
P55769	ENSG00000100138.15
Q9H9Q4	ENSG00000187736.14
Q6VVB1	ENSG00000187566.6
Q8NBF2	ENSG00000196865.4
Q5JS37	ENSG00000188811.14
P0CG21	ENSG00000257108.2
Q9NX24	ENSG00000145912.10
O14745	ENSG00000109062.12
Q15599	ENSG00000065054.14
Q5T2W1	ENSG00000174827.14
Q86UT5	ENSG00000172367.16
Q5SYE7	ENSG00000135540.12
Q5HYW2	ENSG00000204131.11
Q9P206	ENSG00000162522.11
Q6T4R5	ENSG00000188158.17
Q9BZQ8	ENSG00000135842.17
Q96TA1	ENSG00000136830.12
Q86XR2	ENSG00000167483.19
Q92542	ENSG00000162736.18
Q9BSH3	ENSG00000145029.15
Q5BLP8	ENSG00000243449.8
P14543	ENSG00000116962.15
Q14112	ENSG00000087303.19
Q9GZT8	ENSG00000196290.17
Q8IY84	ENSG00000177453.7
Q92982	ENSG00000131669.10
Q9NZG7	ENSG00000171840.13
Q9Y2I6	ENSG00000101004.16
Q8N4C6	ENSG00000100503.27
Q9Y221	ENSG00000132603.15
Q7RTP0	ENSG00000170113.16
Q7RTP0	ENSG00000288478.1
Q8N8Q9	ENSG00000140157.16
Q6NVV3	ENSG00000163293.12
Q0D2K0	ENSG00000172548.15
Q6KC79	ENSG00000164190.19
Q9BPW8	ENSG00000184117.12
O75323	ENSG00000146729.10
Q9Y2I1	ENSG00000010322.16
Q86X76	ENSG00000158793.14
Q9NQR4	ENSG00000114021.12
Q9HAS0	ENSG00000108666.11
P25103	ENSG00000115353.11
P21452	ENSG00000075073.16
P29371	ENSG00000169836.5
Q4KMZ8	ENSG00000084628.10
Q5VXU1	ENSG00000188580.16
Q8N8D7	ENSG00000185942.13
Q8IVV8	ENSG00000101198.15
Q6ZUT1	ENSG00000150776.18
Q5M9Q1	ENSG00000189134.4
Q8N5F7	ENSG00000101882.10
Q969G9	ENSG00000140807.7
Q969F2	ENSG00000145506.14
Q969F2	ENSG00000276920.4
P26715	ENSG00000134545.14
P26717	ENSG00000205809.11
P26718	ENSG00000213809.9
Q07444	ENSG00000205810.9
O43908	ENSG00000183542.7
Q16617	ENSG00000105374.10
Q17RQ9	ENSG00000179846.11
O15226	ENSG00000186416.18
P30414	ENSG00000114857.19
Q15270	ENSG00000235608.2
Q9UD57	ENSG00000229544.9
P43699	ENSG00000136352.20
O95096	ENSG00000125820.6
Q8TAU0	ENSG00000119919.12
Q9H2Z4	ENSG00000125816.5
